name,ballots,u,selection_probability,cum_prob,pruett,hall,over,under
p317_ed_413,361,0.046929,0.003552,0.804386,78,203,0,80
p318_ed_415,396,0.04297,0.003252,0.807638,105,154,0,137
p319_ed_416,414,0.047702,0.00361,0.811248,90,170,0,154
p320_ed_441,316,0.036694,0.002777,0.814025,76,140,0,100
p321_ed_398,364,0.04355,0.003296,0.817321,74,161,0,129
p322_ed_443,445,0.05224,0.003953,0.821274,81,177,0,187
p323_ed_399,378,0.045288,0.003427,0.824702,62,153,0,163
p324_ed_396,445,0.050985,0.003858,0.82856,103,186,0,156
p325_ed_417,343,0.039204,0.002967,0.831527,68,131,0,144
p326_ed_400,323,0.039108,0.00296,0.834487,62,144,0,117
p328_ed_401,428,0.048764,0.00369,0.838177,92,169,0,167
p329_ed_402,303,0.033893,0.002565,0.840742,70,118,0,115
p330_ed_403,419,0.056779,0.004297,0.845039,78,247,0,94
p331_ed_404,411,0.04973,0.003763,0.848803,70,174,0,167
p332_ed_405,238,0.029162,0.002207,0.85101,25,89,0,124
p333_ed_377,331,0.035632,0.002697,0.853706,84,122,0,125
p334_ed_378,400,0.046543,0.003522,0.857228,90,172,0,138
p335_ed_379,445,0.052723,0.00399,0.861218,96,197,0,152
p336_ed_380,448,0.051854,0.003924,0.865143,92,181,0,175
p337_ed_381,316,0.038818,0.002938,0.86808,60,146,0,110
p338_ed_382,297,0.036114,0.002733,0.870814,58,135,0,104
p339_mb_383,295,0.034569,0.002616,0.87343,68,131,0,96
p340_mb_384,192,0.024141,0.001827,0.875257,33,91,0,68
p341_ed_412,281,0.035728,0.002704,0.877961,50,139,0,92
p342_ed_270,279,0.036018,0.002726,0.880686,44,138,0,97
p343_mb_271,446,0.051854,0.003924,0.884611,103,194,0,149
p344_mb_272,295,0.035921,0.002718,0.887329,58,135,0,102
p345_mb_426,296,0.034376,0.002602,0.889931,70,130,0,96
p346_mb_348,445,0.051468,0.003895,0.893826,92,180,0,173
p347_ed_349,421,0.049054,0.003712,0.897538,88,175,1,157
p348_ed_356,402,0.046543,0.003522,0.90106,82,162,0,158
p349_ed_357,384,0.045577,0.003449,0.90451,79,167,0,138
p350_ed_268,240,0.028582,0.002163,0.906673,55,111,0,74
p351_ed_267,362,0.042487,0.003215,0.909888,92,170,0,100
p352_ed_421,181,0.021727,0.001644,0.911532,51,95,0,35
p353_ed_265,430,0.048764,0.00369,0.915223,98,173,0,159
p354_ed_266,353,0.038915,0.002945,0.918168,88,138,0,127
p355_ed_358,433,0.053978,0.004085,0.922253,77,203,0,153
p356_ed_359,409,0.048861,0.003698,0.925951,97,194,0,118
p357_ed_263,357,0.040942,0.003098,0.929049,85,152,0,120
p358_ed_355,198,0.022306,0.001688,0.930737,38,71,0,89
p359_ed_376,179,0.021727,0.001644,0.932381,45,91,0,43
p360_ed_375,236,0.029065,0.0022,0.934581,57,122,0,57
p361_ed_374,201,0.022306,0.001688,0.936269,54,84,0,63
p362_ed_373,307,0.038625,0.002923,0.939192,53,146,2,106
p363_ed_372,316,0.039301,0.002974,0.942166,68,159,0,89
p364_ed_371,301,0.033411,0.002528,0.944695,73,118,0,110
p365_ed_370,317,0.03708,0.002806,0.947501,60,127,0,130
p366_ed_369,302,0.034183,0.002587,0.950088,63,115,0,124
p367_ed_368,314,0.035342,0.002675,0.952763,87,139,0,88
p368_ed_367,281,0.033217,0.002514,0.955277,55,118,0,108
p369_ed_366,292,0.031672,0.002397,0.957674,76,112,0,104
p370_ed_365,275,0.028776,0.002178,0.959851,75,98,0,102
p371_ed_430,286,0.032638,0.00247,0.962321,66,118,0,102
p372_ed_386,410,0.045577,0.003449,0.96577,113,175,0,122
p374_ed_264,447,0.051275,0.00388,0.969651,107,191,0,149
p376_mb_261,150,0.018733,0.001418,0.971069,28,72,0,50
p377_mb_260,299,0.038625,0.002923,0.973992,44,145,1,109
p378_mb_259,296,0.032059,0.002426,0.976418,60,96,0,140
p379_mb_258,294,0.03428,0.002594,0.979012,58,119,0,117
p380_mb_388,207,0.024237,0.001834,0.980846,62,106,0,39
p381_mb_279,146,0.01825,0.001381,0.982228,28,71,0,47
p382_mb_395,300,0.034569,0.002616,0.984844,57,115,0,128
p383_mb_273,296,0.035438,0.002682,0.987526,56,127,0,113
p384_mb_362,298,0.034569,0.002616,0.990142,67,127,0,104
p385_mb_361,293,0.0309,0.002338,0.99248,76,103,0,114
x001_ev_191,186,0.018637,0.00141,0.993891,69,76,0,41
x002_ev_192,176,0.020857,0.001578,0.995469,43,83,0,50
x003_ev_265,86,0.009946,0.000753,0.996222,18,35,0,33
x004_ev_264,155,0.015257,0.001155,0.997377,57,60,0,38
x005_ev_263,141,0.016512,0.00125,0.998626,45,75,0,21
x006_ev_262,87,0.010912,0.000826,0.999452,20,46,0,21
x007_ev_261+j108_ed_41,29,0.003862,0.000292,0.999744,4,15,0,10
x008_ev_259+j099_ed_78,28,0.00338,0.000256,1,6,13,0,9
